0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
-0.673746006,-1.296319345,-1.056122505,-1.001979102,0.179277353,-0.982236012,-0.660142004,-0.038181408,-0.135613086,-0.472007525,0.186217248,-0.480108577,-1.426326085,-0.249680693,-0.451850382
0.467661157,-0.707524984,-0.164197647,-0.065705174,1.643285557,-0.982236012,-0.530344916,-0.07023867,-0.299362744,-0.070650534,1.902902049,0.384370799,-0.866740221,1.005151114,0.656704839
0.988341329,-0.438932356,0.242675206,0.361398568,2.311127908,-0.982236012,-0.097687955,-0.198467716,-0.409521606,0.130027962,2.686008871,0.778723738,-0.611471748,1.57757265,1.162398812
0.34816079,-0.769169193,-0.257578302,-0.163728983,1.490010263,-0.982236012,-0.342860233,-0.519040331,-0.606021196,-0.508494524,1.723172614,0.293863567,-0.925326428,0.87377568,0.540643927
-0.32894179,-1.118452248,-0.786683639,-0.71914296,0.621535135,-0.982236012,-0.530344916,-0.390811285,-0.677475593,-0.526738023,0.704805335,-0.218960634,-1.257282495,0.129387629,-0.116970309
0.542503455,-0.876432627,-0.511126288,-0.636995132,-0.005663933,-0.982236012,-0.616876308,-0.775498423,-0.540521333,-0.526738023,0.465009807,1.024298674,-0.248269494,0.637750229,-0.657281221
-0.57321843,-1.375908764,-1.23436858,-1.320278714,-0.797085348,-0.982236012,-0.847626687,-0.519040331,-0.44822607,-0.69092952,-0.64469581,-0.034526032,-1.008524656,-0.424005152,-1.232579205
-1.130084376,-1.625201402,-1.595344742,-1.661311155,-1.192090269,-0.982236012,-0.515923017,0.506792038,0.147227234,-0.052407034,-1.198558989,-0.562994131,-1.387974245,-0.953935973,-1.519715149
-0.098107966,-1.16321567,-0.926388621,-1.029314465,-0.460072513,-0.982236012,-0.616876308,-0.326696762,-0.686407392,-0.69092952,-0.172147268,0.416355773,-0.68478342,0.028124629,-0.987598717
-0.778685049,-1.467890175,-1.367557819,-1.446109326,-0.942830166,-0.982236012,-0.660142004,-0.807555684,-0.742975456,-0.544981523,-0.849054499,-0.229514708,-1.148530028,-0.619533528,-1.338523646
