0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
-0.5732184298,-1.375908764,-1.23436858,-1.320278714,-0.797085348,-0.9822360119,-0.8476266868,-0.5190403308,-0.4482260704,-0.6909295196,-0.6446958103,-0.03452603246,-1.008524656,-0.4240051515,-1.232579205
-1.130084376,-1.625201402,-1.595344742,-1.661311155,-1.192090269,-0.9822360119,-0.515923017,0.5067920375,0.1472272339,-0.05240703418,-1.198558989,-0.5629941307,-1.387974245,-0.9539359728,-1.519715149
-0.09810796619,-1.16321567,-0.926388621,-1.029314465,-0.460072513,-0.9822360119,-0.6168763078,-0.3266967617,-0.6864073921,-0.6909295196,-0.1721472678,0.4163557727,-0.6847834197,0.02812462911,-0.987598717
-0.7786850492,-1.467890175,-1.367557819,-1.446109326,-0.9428301656,-0.9822360119,-0.6601420039,-0.8075556844,-0.742975456,-0.544981523,-0.8490544994,-0.2295147084,-1.148530028,-0.6195335278,-1.338523646
-0.4266223915,-1.310281994,-1.139340907,-1.230501263,-0.6930995378,-0.9822360119,-0.7322514973,-0.7113838998,-0.6387711278,-0.5632250225,-0.4988902565,0.1045942174,-0.9086338173,-0.284499837,-1.156990112
2.362516487,-0.06166588987,0.6686573259,0.4776061339,1.285336369,-0.9822360119,-0.05442225918,-0.5510975923,-0.09095408786,0.3671934563,2.275208849,2.751498608,0.9918910881,2.369730802,0.281169339
-1.027433983,-1.579247815,-1.528803871,-1.598446628,-1.119276676,-0.9822360119,-0.9197361802,-0.8396129459,-0.7846571873,-0.7274165188,-1.096462113,-0.4655784807,-1.318028058,-0.8562506904,-1.466785682
-0.9833225054,-1.559500394,-1.500209572,-1.571432147,-1.087986828,-0.9822360119,-0.6889858012,-0.07023866967,1.46020177,-0.5632250225,-1.052588496,-0.4237165051,-1.287970407,-0.8142728469,-1.444040548
-0.7058845279,-1.435299505,-1.320366475,-1.401525275,-0.8911901535,-0.9822360119,-0.7178295986,-0.5831548538,0.4836583508,-0.5997120217,-0.7766465377,-0.160426711,-1.098923605,-0.5502543049,-1.300985624
-0.1558177188,-1.189050643,-0.9637977051,-1.06465672,-0.5010081034,-0.9822360119,-0.8332047881,-0.8075556844,-0.7191573239,-0.6726860201,-0.2295458342,0.3615889775,-0.7241069625,-0.02679375262,-1.017355509
0.1559476116,-1.0494824,-0.7617026532,-0.8737273,-0.2798618103,-0.9822360119,-0.6168763078,-0.5190403308,-0.4750214691,-0.3260595279,0.08053837515,0.6574555721,-0.5116694322,0.2698917579,-0.8566004247
0.9255768129,-0.7049418601,-0.2628073681,-0.4023956852,0.2660636931,-0.9822360119,-0.4005478276,-0.5831548538,-0.1892038831,-0.3807900267,0.8460175325,1.387836884,0.01275747101,1.002294659,-0.4597576866
0.2834728983,-0.9923930496,-0.6790371772,-0.7956290428,-0.1894035659,-0.9822360119,-0.5015011184,0.5709065605,-0.1356130857,-0.3625465271,0.2073760119,0.7784775994,-0.4247734425,0.3912487566,-0.7908447545
0.8055139942,-0.7586904813,-0.3406354626,-0.4759238233,0.1808988441,-0.9822360119,-0.6745639026,2.398170467,0.8379530668,0.2212454596,0.7266021242,1.27389677,-0.06905357789,0.8880391751,-0.5216654958
1.47365363,-0.4595838588,0.09247143326,-0.06674582806,0.6548341712,-0.9822360119,-0.5447668144,0.7632501296,1.701360358,-0.08889403335,1.391138975,1.907964062,0.3862181293,1.523861474,-0.1771536682
-0.6575201311,-0.376024837,-0.4459478109,-0.7358824467,-0.9937442429,-0.9822360119,-0.1265317526,-0.3587540233,-0.6238847952,-0.1253810325,0.091881068,0.5383677632,0.2690097845,1.705886288,-0.4027779575
-0.02233735094,0.2658111674,0.256250125,-0.1277640254,-0.5903377949,-0.9822360119,-0.4870792197,-0.2946395002,-0.4809760022,-0.4720075246,1.006292211,1.366095513,1.161752731,3.071777413,0.2256002411
-1.091306038,-0.8143544362,-0.9255004345,-1.151185269,-1.269242946,-0.9822360119,-0.7322514973,0.09004763787,0.2276134299,-0.7091730192,-0.5325984983,-0.02691304149,-0.3406719025,0.7730771195,-0.8319168061
-0.9539805021,-0.6755904832,-0.7736863251,-1.019711005,-1.182027095,-0.9822360119,-0.4438135236,-0.3587540233,-0.245771947,0.02056696415,-0.3349042213,0.1520404199,-0.1476622561,1.068380671,-0.69606241
0.04924723707,0.3381455684,0.3353872671,-0.0592295689,-0.544874213,-0.9822360119,-0.09768795523,-0.7434411614,-0.6596119934,0.07529746291,1.10934561,1.459379765,1.262364143,3.225712243,0.2964179582
-0.8365859518,-0.5569662833,-0.6439060265,-0.9073184925,-1.107469471,-0.9822360119,-0.5447668144,-0.8075556844,-0.8263389186,-0.5267380234,-0.1659026548,0.3050211524,0.0173345921,1.320824817,-0.5799254832
-0.8391947196,-0.5596023766,-0.6467900331,-0.9098161039,-1.109126307,-0.9822360119,-0.2707507394,-0.6472693768,-0.7221345904,-0.3807900267,-0.1696582452,0.3016215806,0.01366799547,1.315214947,-0.5825063038
